tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt9426852,tvSpecial,Taylor Swift: Reputation Stadium Tour,Taylor Swift: Reputation Stadium Tour,0,2018,\N,125,"Music,Musical",8.4,7980
tt8806640,tvSpecial,NXT TakeOver: Brooklyn IV,NXT TakeOver: Brooklyn IV,0,2018,\N,159,"Action,Sport",8.4,249
tt1796543,tvSpecial,Live from Daryl's House: A New Year's Eve Special,Live from Daryl's House: A New Year's Eve Special,0,2010,\N,120,Music,8.4,11
tt1806994,tvSpecial,Perry Como's Christmas in New York,Perry Como's Christmas in New York,0,1983,\N,60,Music,8.4,20
tt1823101,tvSpecial,ROH: Death Before Dishonor VIII,ROH: Death Before Dishonor VIII,0,2010,\N,\N,\N,8.4,9
tt18278988,tvSpecial,WWE Hall of Fame 2022,WWE Hall of Fame 2022,0,2022,\N,\N,\N,8.4,76
tt1843961,tvSpecial,Lady Gaga Presents: The Monster Ball Tour at Madison Square Garden,Lady Gaga Presents: The Monster Ball Tour at Madison Square Garden,0,2011,\N,117,"Documentary,Music",8.4,2551
tt1850322,tvSpecial,2011 NBA All-Star Game,2011 NBA All-Star Game,0,2011,\N,150,Sport,8.4,72
tt1855965,tvSpecial,1994 NFC Championship Game,1994 NFC Championship Game,0,1995,\N,\N,Sport,8.4,14
tt1882025,tvSpecial,1986 NBA All-Star Game,1986 NBA All-Star Game,0,1986,\N,\N,Sport,8.4,10
tt18930384,tvSpecial,A Dark Shadows Christmas Carol,A Dark Shadows Christmas Carol,0,2021,\N,66,"Drama,Fantasy",8.4,9
tt1950116,tvSpecial,Crosby-Nash Live,Crosby-Nash Live,0,2011,\N,\N,Music,8.4,9
tt19783536,tvSpecial,AEW X NJPW: Forbidden Door,All Elite Wrestling x New Japan Pro Wrestling: Forbidden Door,0,2022,\N,226,"Action,Sport",8.4,147
tt19818788,tvSpecial,Expedition Arktis. Ein Jahr. Ein Schiff. Im Eis.,Expedition Arktis. Ein Jahr. Ein Schiff. Im Eis.,0,2020,\N,90,Documentary,8.4,5
tt2016840,tvSpecial,311: Live in Chicago,311: Live in Chicago,0,2011,\N,\N,Music,8.4,7
tt2076189,tvSpecial,Dov Davidoff: Filthy Operation,Dov Davidoff: Filthy Operation,0,2010,\N,\N,"Comedy,Documentary",8.4,31
tt21110904,tvSpecial,"Davina McCall: Sex, Mind and the Menopause","Davina McCall: Sex, Mind and the Menopause",0,2022,\N,47,Documentary,8.4,15
tt2191703,tvSpecial,Hall & Oates: Our Kind of Soul,Hall & Oates: Our Kind of Soul,0,2005,\N,58,Music,8.4,10
tt1391109,tvSpecial,P!NK: I'm Not Dead - Live from Wembley Arena,P!NK: I'm Not Dead - Live from Wembley Arena,0,2007,\N,103,Music,8.4,58
tt1401892,tvSpecial,The 58th Annual Golden Globe Awards 2001,The 58th Annual Golden Globe Awards 2001,0,2001,\N,\N,\N,8.4,145
tt14260990,tvSpecial,Off to the Movies Live,Off to the Movies Live,0,2021,\N,121,"Comedy,Talk-Show",8.4,6
tt14406352,tvSpecial,Christmas with Bonacini,Christmas with Bonacini,0,2019,\N,44,\N,8.4,6
tt1455124,tvSpecial,Kenny Rogers Classic Weekend,Kenny Rogers Classic Weekend,0,1990,\N,120,Sport,8.4,16
tt14558210,tvSpecial,Lost Empire of Persia,Lost Empire of Persia,0,2022,\N,84,"Documentary,History",8.4,209
tt1494596,tvSpecial,1990 NBA All-Star Game,1990 NBA All-Star Game,0,1990,\N,\N,Sport,8.4,19
tt15381556,tvSpecial,Pushpo Kotha,Pushpo Kotha,0,2000,\N,55,"Comedy,Drama",8.4,41
tt1556198,tvSpecial,Paul McCartney: Good Evening New York City,Paul McCartney: Good Evening New York City,0,2009,\N,154,"Documentary,Music",8.4,180
tt1568205,tvSpecial,Oasis: Standing on the Edge of the Noise,Oasis: Standing on the Edge of the Noise,0,2008,\N,59,Music,8.4,35
tt1576469,tvSpecial,Tarzan in Concert with Phil Collins,Tarzan in Concert with Phil Collins,0,1999,\N,\N,"Family,Music",8.4,14
tt16440930,tvSpecial,20 Years of Christmas with the Tabernacle Choir,20 Years of Christmas with the Tabernacle Choir,0,2021,\N,\N,"Documentary,Music",8.4,27
tt1667819,tvSpecial,A Night at the Festival Club,A Night at the Festival Club,0,2010,\N,60,Comedy,8.4,113
tt1745956,tvSpecial,Orla Fallon's Celtic Christmas,Orla Fallon's Celtic Christmas,0,2010,\N,60,Music,8.4,6
tt17501864,tvSpecial,Xander De Rycke: Uitgerust & Immuun,Xander De Rycke: Uitgerust & Immuun,0,2021,\N,\N,Comedy,8.4,16
tt1788463,tvSpecial,The Royal Variety Performance 2010,The Royal Variety Performance 2010,0,2010,\N,\N,Music,8.4,13
tt1185410,tvSpecial,UEFA Cup Final 2002,UEFA Cup Final 2002,0,2002,\N,110,Sport,8.4,27
tt1198052,tvSpecial,The American Film Institute's 10th Anniversary Special,The American Film Institute's 10th Anniversary Special,0,1977,\N,90,\N,8.4,21
tt1199508,tvSpecial,The Osmonds 50th Anniversary Reunion,The Osmonds 50th Anniversary Reunion,0,2008,\N,\N,"Documentary,Family,Music",8.4,17
tt1205582,tvSpecial,Astor Piazzolla: Live at the Montreal Jazz Festival,Astor Piazzolla: Live at the Montreal Jazz Festival,0,1984,\N,57,Music,8.4,10
tt1205982,tvSpecial,Ann-Margret: When You're Smiling,Ann-Margret: When You're Smiling,0,1973,\N,60,"Comedy,Music",8.4,10
tt12202120,tvSpecial,A Parks and Recreation Special,A Parks and Recreation Special,0,2020,\N,\N,"Comedy,Short",8.4,2719
tt12269006,tvSpecial,Isolation Stories: Behind the Scenes,Isolation Stories: Behind the Scenes,0,2020,\N,25,"Documentary,Short",8.4,9
tt1229003,tvSpecial,RTL voetbal: KNVB Beker finale Feyenoord - Roda JC,RTL voetbal: KNVB Beker finale Feyenoord - Roda JC,0,2008,\N,\N,Sport,8.4,9
tt12416746,tvSpecial,Haircut Night in America,Haircut Night in America,0,2020,\N,\N,Reality-TV,8.4,13
tt12830820,tvSpecial,The Rolling Stones: Steel Wheels Live,The Rolling Stones: Atlantic City '89,0,1989,\N,165,Music,8.4,17
tt13133548,tvSpecial,National Lampoon Radio Hour Live,National Lampoon Radio Hour Live,0,2020,\N,60,Comedy,8.4,73
tt13212764,tvSpecial,Hope for Prague,Hope for Prague,0,2020,\N,70,Music,8.4,6
tt1324032,tvSpecial,Todd Rundgren: Arena Live,Todd Rundgren: Arena Live,0,2008,\N,\N,Music,8.4,9
tt1332609,tvSpecial,The Spirit of Christmas,The Spirit of Christmas,0,2008,\N,\N,Music,8.4,17
tt13345490,tvSpecial,2020 Countdown to Christmas Preview Special,2020 Countdown to Christmas Preview Special,0,2020,\N,60,\N,8.4,6
tt13773598,tvSpecial,"The Matrix, the Office Never-Before-Seen Cold Open",The Office: The Matrix,0,2021,\N,5,Comedy,8.4,16
tt10541062,tvSpecial,Mary Berry's Christmas Party,Mary Berry's Christmas Party,0,2017,\N,59,Reality-TV,8.4,6
tt10915930,tvSpecial,Alex in Wonderland,Alex in Wonderland,0,2019,\N,136,"Comedy,Music,Musical",8.4,335
tt1094990,tvSpecial,Barbara Mandrell's Christmas: A Family Reunion,Barbara Mandrell's Christmas: A Family Reunion,0,1986,\N,60,"Family,Music",8.4,17
tt11027164,tvSpecial,Brad Paisley Thinks He's Special,Brad Paisley Thinks He's Special,0,2019,\N,\N,Music,8.4,28
tt11081044,tvSpecial,Daniel Sloss: X,Daniel Sloss: X,0,2019,\N,89,"Comedy,Documentary",8.4,1721
tt11158856,tvSpecial,Outlier: The Story of Katherine Johnson,Outlier: The Story of Katherine Johnson,0,2019,\N,55,Biography,8.4,11
tt11163684,tvSpecial,Got Milk: Aaron Burr,Got Milk: Aaron Burr,0,1993,\N,\N,"Comedy,Short",8.4,69
tt1119219,tvSpecial,UFC 74 Countdown,UFC 74 Countdown,0,2007,\N,\N,Sport,8.4,21
tt1119635,tvSpecial,UFC 72 Countdown,UFC 72 Countdown,0,2007,\N,60,Sport,8.4,19
tt1125187,tvSpecial,An Evening with Carol Channing,An Evening with Carol Channing,0,1966,\N,60,"Comedy,Music",8.4,11
tt11256478,tvSpecial,The Heller Awards,The 15th Annual Heller Awards,0,2019,\N,150,News,8.4,8
tt11262558,tvSpecial,The Unremembered: Britain's Forgotten War Heroes,The Unremembered: Britain's Forgotten War Heroes,0,2019,\N,\N,Documentary,8.4,12
tt11457776,tvSpecial,A Perfect Game*,A Perfect Game*,0,2019,\N,\N,Sport,8.4,6
tt11465732,tvSpecial,NJPW Wrestle Kingdom 14,NJPW Wrestle Kingdom 14,0,2020,\N,\N,Sport,8.4,49
tt1170403,tvSpecial,Lynyrd Skynyrd: Live at Freedom Hall,Lynyrd Skynyrd: Live at Freedom Hall,0,2008,\N,87,Music,8.4,15
tt1178586,tvSpecial,New Musical Express Poll Winners' Concert,New Musical Express Poll Winners' Concert,0,1964,\N,120,"Documentary,Music",8.4,10
tt0756634,tvSpecial,Christmas in Washington,Christmas in Washington,0,2005,\N,60,Music,8.4,9
tt0808179,tvSpecial,Brian Regan: I Walked on the Moon,Brian Regan: I Walked on the Moon,0,2004,\N,55,Comedy,8.4,711
tt0808284,tvSpecial,Goin' Back to Indiana,Goin' Back to Indiana,0,1971,\N,60,"Comedy,Music",8.4,39
tt0811023,tvSpecial,Pontiac Star Parade,Pontiac Star Parade,0,1959,\N,\N,"Comedy,Music",8.4,13
tt0811778,tvSpecial,Johnny Cash: The First 25 Years,Johnny Cash: The First 25 Years,0,1980,\N,90,Music,8.4,12
tt0874311,tvSpecial,One Symphony Place: A World Premiere Live from Music City,One Symphony Place: A World Premiere Live from Music City,0,2006,\N,120,Music,8.4,8
tt0886525,tvSpecial,Randy Newman: Live at the Odeon,Randy Newman: Live at the Odeon,0,1982,\N,\N,Music,8.4,17
tt0927613,tvSpecial,Jean Michel Jarre at the Pyramids,Jean Michel Jarre at the Pyramids,0,2000,\N,60,Music,8.4,86
tt0951386,tvSpecial,Theo Maassen: Tegen beter weten in,Theo Maassen: Tegen beter weten in,0,2006,\N,85,"Comedy,Documentary",8.4,270
tt0963207,tvSpecial,George Carlin... It's Bad for Ya!,George Carlin... It's Bad for Ya!,0,2008,\N,70,"Comedy,Documentary",8.4,6593
tt0970185,tvSpecial,The Orange British Academy Film Awards,The Orange British Academy Film Awards,0,2004,\N,\N,\N,8.4,44
tt0983857,tvSpecial,Greatest Game Show Moments,Greatest Game Show Moments,0,2007,\N,60,Game-Show,8.4,12
tt10374352,tvSpecial,NXT TakeOver: XXV,NXT TakeOver: XXV,0,2019,\N,159,"Action,Sport",8.4,238
tt1042889,tvSpecial,Grand Ole Opry at Carnegie Hall,Grand Ole Opry at Carnegie Hall,0,2006,\N,\N,Music,8.4,15
tt1049115,tvSpecial,"It's What's Happening, Baby!","It's What's Happening, Baby!",0,1965,\N,90,Music,8.4,34
tt1052014,tvSpecial,Liza in London,Liza in London,0,1986,\N,90,Music,8.4,15
tt0406103,tvSpecial,Niels Hausgaard 12 04 2003,Niels Hausgaard 12 04 2003,0,2003,\N,54,"Comedy,Music",8.4,5
tt0408036,tvSpecial,A Night at the Apollo,A Night at the Apollo,0,2002,\N,\N,Music,8.4,19
tt0429746,tvSpecial,Cat Stevens: Majikat,Cat Stevens: Majikat,0,2004,\N,135,Music,8.4,130
tt0434138,tvSpecial,Larry Miller... Just Words,Larry Miller... Just Words,0,1992,\N,\N,Comedy,8.4,63
tt0441320,tvSpecial,Isälle Göstalta,Isälle Göstalta,0,2004,\N,\N,Music,8.4,11
tt0442808,tvSpecial,MTV Movie Awards Mexico 2004,MTV Movie Awards Mexico 2004,0,2004,\N,\N,"Comedy,Music",8.4,16
tt0445971,tvSpecial,G.I.T. on Broadway,G.I.T. on Broadway,0,1969,\N,60,Musical,8.4,16
tt0450275,tvSpecial,Robert Schimmel: Hardcore in the Big Apple,Robert Schimmel: Hardcore in the Big Apple,0,1990,\N,\N,"Comedy,Documentary",8.4,12
tt0457390,tvSpecial,Jack Benny's Second Farewell Special,Jack Benny's Second Farewell Special,0,1974,\N,60,Comedy,8.4,28
