tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt9803024,tvShort,Finding Giannis,Finding Giannis,0,2019,\N,21,"Short,Sport",8.1,41
tt9764564,tvShort,Camp Camp: Culture Day,Camp Camp: Culture Day,0,2018,\N,12,"Animation,Comedy,Short",8.1,14
tt0899277,tvShort,The Lady Policeman,The Lady Policeman,0,2005,\N,\N,"Action,Comedy,Short",8.1,10
tt11564276,tvShort,Miranda's Pineapple Dance Studios,Miranda's Pineapple Dance Studios,0,2011,\N,11,Short,8.1,25
tt1248298,tvShort,The Witch of Portobello,The Witch of Portobello,0,2009,\N,13,"Drama,Short",8.1,9
tt1251338,tvShort,Army Guy,Army Guy,0,2007,\N,3,"Action,Comedy,Short",8.1,18
tt12746490,tvShort,The Wonderful Wingits,The Wonderful Wingits,0,2019,\N,9,"Animation,Comedy,Fantasy",8.1,24
tt1342864,tvShort,Flagship,Flagship,0,2007,\N,2,"Animation,Short",8.1,17
tt13458242,tvShort,Cool Dad,Cool Dad,0,2017,\N,12,"Comedy,Fantasy,Short",8.1,51
tt1579450,tvShort,HIM: The Making of 'Buried Alive by Love',HIM: The Making of 'Buried Alive by Love',0,2003,\N,17,"Documentary,Music,Short",8.1,19
tt1946200,tvShort,Drama,Drama,0,1960,\N,18,"Comedy,Short",8.1,61
tt1951113,tvShort,Do Not Bring That Python in the House,Do Not Bring That Python in the House,0,1992,\N,24,"Comedy,Family,Short",8.1,19
tt2652870,tvShort,Glee Casting Session,Glee Casting Session,0,2009,\N,12,"Documentary,Short",8.1,73
tt2653142,tvShort,Sherlock Uncovered,Sherlock Uncovered,0,2012,\N,9,"Documentary,Short",8.1,233
tt2973880,tvShort,Klyuchi ot vremeni,Klyuchi ot vremeni,0,2004,\N,22,"Animation,Family,Fantasy",8.1,14
tt3119226,tvShort,Spartacus: Vengeance Unleashed,Spartacus: Vengeance Unleashed,0,2012,\N,11,"Documentary,Short",8.1,1083
tt4044020,tvShort,Dream Corp LLC,Dream Corp LLC,0,2014,\N,11,"Comedy,Short",8.1,44
tt4677844,tvShort,Bear in Underwear,Bear in Underwear,0,2015,\N,13,"Animation,Family,Short",8.1,18
tt0168479,tvShort,The Baffling Bluffs of Hugo a Go-Go,The Baffling Bluffs of Hugo a Go-Go,0,1967,\N,5,"Animation,Short",8.1,8
tt0413071,tvShort,On the Set: Raising Helen,On the Set: Raising Helen,0,2004,\N,14,"Documentary,Short",8.1,20
tt0348212,tvShort,The Times They Are A-Changin',The Times They Are A-Changin',0,1964,\N,4,"Music,Short",8.1,37
tt0279830,tvShort,Garfield in Disguise,Garfield in Disguise,0,1985,\N,25,"Adventure,Animation,Comedy",8.1,2479
tt0219251,tvShort,Plastilinovaya vorona,Plastilinovaya vorona,0,1981,\N,9,"Animation,Musical,Short",8.1,1759
tt0214301,tvShort,Wetty Hainthropp Investigates,Wetty Hainthropp Investigates,0,1999,\N,15,"Comedy,Short",8.1,38
tt0459870,tvShort,Klods Hans,Klods Hans,0,2005,\N,15,"Adventure,Short",8.1,11
tt0446955,tvShort,Bufetul mimoza,Bufetul mimoza,0,1976,\N,\N,"Comedy,Short",8.1,15
tt0474793,tvShort,Making 'Deadwood': Season Two,Making 'Deadwood': Season Two,0,2005,\N,15,"Documentary,Short",8.1,29
tt0781351,tvShort,De skrev historie: Dolph,De skrev historie: Dolph,0,2006,\N,17,"Comedy,Short",8.1,10
tt0828368,tvShort,Brain Zapped,Brain Zapped,0,2006,\N,17,"Family,Short",8.1,77
tt7725448,tvShort,Craig of the Creek,Craig of the Creek,0,2017,\N,11,"Adventure,Animation,Comedy",8.1,94
tt7678514,tvShort,O Vampiro de Novo Hamburgo,O Vampiro de Novo Hamburgo,0,1991,\N,4,"Comedy,Short",8.1,9
tt7469714,tvShort,High School Musical: 10th Anniversary,High School Musical: 10th Anniversary,0,2016,\N,8,"Music,Short",8.1,19
tt4760270,tvShort,The Epic of Epic Epicness,The Epic of Epic Epicness,0,2015,\N,16,"Action,Adventure,Comedy",8.1,14
tt6583652,tvShort,The Expanse: Expanded,The Expanse: Expanded,0,2016,\N,19,"Sci-Fi,Short",8.1,187
tt6392394,tvShort,Wolfgirl,Wolfgirl,0,2015,\N,15,"Comedy,Short",8.1,32
tt6225288,tvShort,Regular Show: Coming Soon,Regular Show: Coming Soon,0,2016,\N,2,"Animation,Comedy,Short",8.1,205
tt5808950,tvShort,Only Fools and Horses: Only Fools Cutaway,Only Fools and Horses: Only Fools Cutaway,0,1997,\N,7,"Comedy,Short",8.1,54
tt5700192,tvShort,Little Things: The Thing About Lingerie,Little Things: The Thing About Lingerie,0,2015,\N,9,"Comedy,Short",8.1,11
tt5199264,tvShort,Penguin Monster Beach Party,Penguin Monster Beach Party,0,2015,\N,22,"Adventure,Animation,Comedy",8.1,22
tt5044594,tvShort,What Did Zoey Say?,What Did Zoey Say?,0,2015,\N,5,"Comedy,Short",8.1,264
tt6618488,tvShort,Flowers Will Bloom,Hana wa Saku,0,2013,\N,5,"Animation,Music,Short",8.1,64
tt8986828,tvShort,Mayans M.C. Season 1: First Look,Mayans M.C. Season 1: First Look,0,2018,\N,3,"Drama,Short",8.1,12
tt8537030,tvShort,The Ballad of Bea and Cad,The Ballad of Bea and Cad,0,2018,\N,4,"Action,Adventure,Animation",8.1,17
