tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0029270,tvShort,Much Ado About Nothing,Much Ado About Nothing,0,1937,\N,10,"Comedy,Romance,Short",4.9,12
tt0044089,tvShort,The Sun Was Setting,The Sun Was Setting,0,1951,\N,20,"Drama,Short",5.2,131
tt0048205,tvShort,The Indiscreet Mrs. Jarvis,The Indiscreet Mrs. Jarvis,0,1955,\N,25,"Drama,Short",7.2,12
tt0053178,tvShort,Poet's London,Poet's London,0,1959,\N,12,"Documentary,Short",6.2,12
tt0054299,tvShort,Shelagh Delaney's Salford,Shelagh Delaney's Salford,0,1960,\N,15,"Documentary,Short",7.1,56
tt0054633,tvShort,Antonio Gaudi,Antonio Gaudi,0,1961,\N,15,"Documentary,Short",7.0,93
tt0056369,tvShort,Preservation Man,Preservation Man,0,1962,\N,16,"Documentary,Short",6.8,19
tt0057896,tvShort,Bons baisers de Bangkok,Bons baisers de Bangkok,0,1964,\N,15,"Documentary,Short",6.3,14
tt0060230,tvShort,Charlie Brown's All Stars!,Charlie Brown's All Stars!,0,1966,\N,24,"Animation,Comedy,Family",7.5,1661
tt0060363,tvShort,"Eh, Joe?","Eh, Joe?",0,1966,\N,20,"Drama,Short",7.5,30
tt0062513,tvShort,"You're in Love, Charlie Brown","You're in Love, Charlie Brown",0,1967,\N,30,"Animation,Comedy,Family",7.5,1663
tt0063048,tvShort,"He's Your Dog, Charlie Brown","He's Your Dog, Charlie Brown",0,1968,\N,24,"Animation,Comedy,Family",7.4,1466
tt0063468,tvShort,Przekladaniec,Przekladaniec,0,1968,\N,35,"Comedy,Sci-Fi,Short",6.9,394
tt0063999,tvShort,Alarm,Alarm,0,1969,\N,30,"Drama,Short",8.4,26
tt0064262,tvShort,3 amerikanische LP's,3 amerikanische LP's,0,1969,\N,13,"Music,Short",6.4,92
tt0064349,tvShort,Frosty the Snowman,Frosty the Snowman,0,1969,\N,25,"Animation,Comedy,Drama",7.3,22064
tt0064501,tvShort,"It Was a Short Summer, Charlie Brown","It Was a Short Summer, Charlie Brown",0,1969,\N,24,"Animation,Comedy,Family",7.3,1256
tt0065513,tvShort,La cabina,La cabina,0,1972,\N,35,"Drama,Horror,Short",7.8,4713
tt0065791,tvShort,Góry o zmierzchu,Góry o zmierzchu,0,1970,\N,28,"Drama,Short",6.4,30
tt0066232,tvShort,Police Film,Polizeifilm,0,1969,\N,12,Short,5.9,78
tt0067485,tvShort,Niedziela Barabasza,Niedziela Barabasza,0,1972,\N,25,"Drama,Short,Sport",6.5,43
