tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0060178,tvSpecial,The Bob Hope Vietnam Christmas Show,The Bob Hope Vietnam Christmas Show,0,1966,\N,\N,"Comedy,Documentary,Music",8.2,48
tt0075437,tvSpecial,Doug Henning's World of Magic,Doug Henning's World of Magic,0,1976,\N,60,"Family,Fantasy",7.7,19
tt0080201,tvSpecial,"Boom Boom, Out Go the Lights","Boom Boom, Out Go the Lights",0,1981,\N,\N,\N,6.5,26
tt0083646,tvSpecial,The Mondo Beyondo Show,The Mondo Beyondo Show,0,1988,\N,60,"Comedy,Music",7.9,102
tt0085474,tvSpecial,Eddie Murphy: Delirious,Eddie Murphy: Delirious,0,1983,\N,69,Comedy,8.1,18745
tt0085497,tvSpecial,EPCOT Center: The Opening Celebration,EPCOT Center: The Opening Celebration,0,1982,\N,50,"Comedy,Family,Music",7.3,88
tt0086194,tvSpecial,Richard Pryor... Here and Now,Richard Pryor... Here and Now,0,1983,\N,83,"Comedy,Documentary",7.2,2488
tt0089376,tvSpecial,The Joe Piscopo Special,The Joe Piscopo Special,0,1984,\N,60,"Comedy,Music",6.4,62
tt0089918,tvSpecial,Richard Pryor: Live and Smokin',Richard Pryor: Live and Smokin',0,1971,\N,48,Comedy,6.4,1180
tt0092990,tvSpecial,An Evening with Bobcat Goldthwait: Share the Warmth,An Evening with Bobcat Goldthwait: Share the Warmth,0,1987,\N,55,"Comedy,Documentary",7.5,110
tt0093882,tvSpecial,On Location: The Roseanne Barr Show,On Location: The Roseanne Barr Show,0,1987,\N,60,Comedy,6.6,71
tt0094634,tvSpecial,An All-Star Toast to the Improv,An All-Star Toast to the Improv,0,1988,\N,65,Comedy,7.2,70
tt0095838,tvSpecial,Paul Reiser: Out on a Whim,Paul Reiser: Out on a Whim,0,1987,\N,60,"Adventure,Comedy,Romance",5.2,57
tt0097065,tvSpecial,Circus of the Stars #14,Circus of the Stars #14,0,1989,\N,\N,"Documentary,Family",6.4,109
tt0097181,tvSpecial,Pink Floyd: Delicate Sound of Thunder,Pink Floyd: Delicate Sound of Thunder,0,1989,\N,100,"Documentary,Music",8.4,1261
tt0097878,tvSpecial,Billy Crystal: Midnight Train to Moscow,Midnight Train to Moscow,0,1989,\N,72,"Comedy,Documentary",7.1,69
tt0100089,tvSpecial,Madonna: Blond Ambition World Tour Live,Madonna: Blond Ambition World Tour Live,0,1990,\N,112,"Documentary,Music",8.9,945
tt0103999,tvSpecial,The Freddie Mercury Tribute: Concert for AIDS Awareness,The Freddie Mercury Tribute: Concert for AIDS Awareness,0,1992,\N,175,"Documentary,Music",8.7,1773
tt0107470,tvSpecial,MMC in Concert,MMC in Concert,0,1993,\N,\N,\N,7.1,84
tt0108203,tvSpecial,John Leguizamo: Spic-O-Rama,John Leguizamo: Spic-O-Rama,0,1993,\N,56,Comedy,8.2,154
tt0110533,tvSpecial,Miss Universe Pageant,Miss Universe Pageant,0,1994,\N,\N,"Documentary,Family,Reality-TV",6.7,38
tt0110758,tvSpecial,Pink Floyd: P. U. L. S. E. Live at Earls Court,Pink Floyd: P. U. L. S. E. Live at Earls Court,0,1994,\N,145,"Documentary,Music",9.2,5324
tt0111109,tvSpecial,Peter Gabriel's Secret World,Secret World Live,0,1994,\N,102,"Documentary,Music",8.6,727
tt0112429,tvSpecial,BNN: K.R.S.T.M.S,BNN: K.R.S.T.M.S,0,1995,\N,\N,Comedy,8.0,6
tt0112456,tvSpecial,Barbra: The Concert,Barbra: The Concert,0,1994,\N,125,Music,8.4,540
tt0112707,tvSpecial,A Comedy Salute to Andy Kaufman,A Comedy Salute to Andy Kaufman,0,1995,\N,44,"Comedy,Documentary",6.4,119
tt0114453,tvSpecial,Sinatra: 80 Years My Way,Sinatra: 80 Years My Way,0,1995,\N,120,"Documentary,Music",7.9,110
tt0115187,tvSpecial,"The Good, the Bad & the Beautiful","The Good, the Bad & the Beautiful",0,1996,\N,95,Documentary,6.6,154
tt0115371,tvSpecial,State of the Union: Undressed,State of the Union: Undressed,0,1996,\N,75,\N,4.5,22
tt0115720,tvSpecial,Bob Hope: Laughing with the Presidents,Bob Hope: Laughing with the Presidents,0,1996,\N,46,"Comedy,Documentary",7.5,54
tt0115745,tvSpecial,UFC VII: Brawl in Buffalo,UFC VII: Brawl in Buffalo,0,1995,\N,\N,Sport,7.4,184
tt0115894,tvSpecial,Christmas in Washington,Christmas in Washington,0,1996,\N,\N,Music,5.1,29
