tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt14946614,movie,(re)começo,(re)começo,0,2021,\N,40,Drama,10.0,6
tt21960166,movie,7 Days in a Coma,7 Days in a Coma,0,2017,\N,\N,Drama,10.0,7
tt34431038,movie,87 Candles,87 Candles,0,2024,\N,55,"Biography,Documentary,Sport",10.0,6
tt16281982,movie,A Story for Winter,A Story for Winter,0,2021,\N,\N,Drama,10.0,9
tt26421439,movie,Ad memoriam rei perpetuam,Ad memoriam rei perpetuam,0,2020,\N,\N,Documentary,10.0,6
tt33368211,movie,Stray Dreams,Adespota oneira,0,2024,\N,92,Drama,10.0,6
tt0103649,movie,All I Know Is,All I Know Is,0,1992,\N,\N,Drama,10.0,13
tt13509580,movie,Allure Magazine: Fashion Backstage Paris-Milan-New York (1996-2004),Allure Magazine: Fashion Backstage Paris-Milan-New York (1996-2004),0,2004,\N,\N,Documentary,10.0,7
tt17023288,movie,Amends of the Father,Amends of the Father,0,2023,\N,\N,Drama,10.0,7
tt8936610,movie,Anne and Andy,Anne and Andy,0,2017,\N,110,"Drama,Music",10.0,5
tt8215820,movie,Are We Making a Film? Behind the Scenes: Follow the Dead,Are We Making a Film? Behind the Scenes: Follow the Dead,0,2018,\N,67,Documentary,10.0,10
tt12674830,movie,As Crianças do Lixão,As Crianças do Lixão,0,2018,\N,78,Documentary,10.0,9
tt15108182,movie,Ashes to Ashes,Ashes to Ashes,0,2021,\N,49,Documentary,10.0,7
tt15161046,movie,Asunción,Asunción,0,2021,\N,\N,Drama,10.0,6
tt15728808,movie,At Three,At Three,0,2021,\N,48,Drama,10.0,8
tt2881510,movie,Badnam Gali,Badnam Gali,0,1990,\N,\N,Thriller,10.0,7
tt19268898,movie,Behind Bruised,Behind Bruised,0,2022,\N,72,Documentary,10.0,7
tt27529215,movie,Bindori,Bindori,0,2023,\N,\N,\N,10.0,5
tt15047258,movie,Blind Surfer with Pete Gustin,Blind Surfer with Pete Gustin,0,2020,\N,\N,Reality-TV,10.0,8
tt33098449,movie,Bubbly Bindaas,Bubbly Bindaas,0,2024,\N,127,Comedy,10.0,5
tt13476206,movie,Bully the Dead Don't Die,Bully the Dead Don't Die,0,2020,\N,\N,Crime,10.0,7
tt34387755,movie,Casebre,Casebre,0,2024,\N,\N,"Comedy,Drama",10.0,11
